class_id,config_types,n_blocks,n_meas,n_contexts,lp_value,lp_status,hit_5_2
1159,14 73 218 347,4,9,24,2.000000000000,0,0
1160,14 73 218 348,4,9,24,2.000000000000,0,0
1161,14 73 218 353,4,9,24,2.000000000000,0,0
1162,14 73 218 355,4,10,36,2.000000000000,0,0
1163,14 73 219 222,4,9,24,2.000000000000,0,0
1164,14 73 219 348,4,9,24,2.000000000000,0,0
1165,14 73 219 353,4,9,24,2.000000000000,0,0
1166,14 73 222 328,4,9,24,2.000000000000,0,0
1167,14 73 222 329,4,9,24,2.000000000000,0,0
1168,14 73 222 347,4,9,24,2.000000000000,0,0
1169,14 73 222 348,4,9,24,2.000000000000,0,0
1170,14 73 222 355,4,10,36,2.000000000000,0,0
1171,14 73 230 348,4,10,36,2.000000000000,0,0
1172,14 73 303 348,4,10,36,2.000000000000,0,0
1173,14 73 328 348,4,9,24,2.000000000000,0,0
1174,14 73 328 353,4,9,24,2.000000000000,0,0
1175,14 73 329 348,4,9,24,2.000000000000,0,0
1176,14 73 329 353,4,9,24,2.000000000000,0,0
1177,14 73 330 348,4,9,24,2.000000000000,0,0
1178,14 73 348,3,7,12,2.000000000000,0,0
1179,14 73 348 348,4,9,24,2.000000000000,0,0
1180,14 73 348 353,4,9,24,2.000000000000,0,0
1181,14 73 348 355,4,10,36,2.000000000000,0,0
1182,14 73 353 355,4,10,36,2.000000000000,0,0
1183,14 74 74 218,4,9,24,2.000000000000,0,0
1184,14 74 74 219,4,9,24,2.000000000000,0,0
1185,14 74 74 328,4,9,24,2.000000000000,0,0
1186,14 74 74 329,4,9,24,2.000000000000,0,0
1187,14 74 74 348,4,9,24,2.000000000000,0,0
1188,14 74 74 355,4,10,36,2.000000000000,0,0
1189,14 74 79 218,4,9,24,2.000000000000,0,0
1190,14 74 79 219,4,9,24,2.000000000000,0,0
1191,14 74 79 328,4,9,24,2.000000000000,0,0
1192,14 74 79 329,4,9,24,2.000000000000,0,0
1193,14 74 79 348,4,9,24,2.000000000000,0,0
1194,14 74 79 355,4,10,36,2.000000000000,0,0
1195,14 74 81 218,4,10,36,2.000000000000,0,0
1196,14 74 81 219,4,10,36,2.000000000000,0,0
1197,14 74 81 328,4,10,36,2.000000000000,0,0
1198,14 74 81 329,4,10,36,2.000000000000,0,0
1199,14 74 81 348,4,10,36,2.000000000000,0,0
1200,14 74 95 218,4,9,24,2.000000000000,0,0
1201,14 74 95 219,4,9,24,2.000000000000,0,0
1202,14 74 95 328,4,9,24,2.000000000000,0,0
1203,14 74 95 329,4,9,24,2.000000000000,0,0
1204,14 74 95 348,4,9,24,2.000000000000,0,0
1205,14 74 95 355,4,10,36,2.000000000000,0,0
1206,14 74 97 218,4,9,24,2.000000000000,0,0
1207,14 74 97 219,4,9,24,2.000000000000,0,0
1208,14 74 97 328,4,9,24,2.000000000000,0,0
1209,14 74 97 329,4,9,24,2.000000000000,0,0
1210,14 74 97 348,4,9,24,2.000000000000,0,0
1211,14 74 97 355,4,10,36,2.000000000000,0,0
1212,14 74 98 218,4,9,24,2.000000000000,0,0
1213,14 74 98 219,4,9,24,2.000000000000,0,0
1214,14 74 98 328,4,9,24,2.000000000000,0,0
1215,14 74 98 329,4,9,24,2.000000000000,0,0
1216,14 74 98 348,4,9,24,2.000000000000,0,0
1217,14 74 98 355,4,10,36,2.000000000000,0,0
1218,14 74 218,3,7,12,2.000000000000,0,0
1219,14 74 218 218,4,9,24,2.000000000000,0,0
1220,14 74 218 219,4,9,24,2.000000000000,0,0
1221,14 74 218 222,4,9,24,2.000000000000,0,0
1222,14 74 218 230,4,10,36,2.000000000000,0,0
1223,14 74 218 303,4,10,36,2.000000000000,0,0
1224,14 74 218 328,4,9,24,2.000000000000,0,0
1225,14 74 218 329,4,9,24,2.000000000000,0,0
1226,14 74 218 330,4,9,24,2.000000000000,0,0
1227,14 74 218 348,4,9,24,2.000000000000,0,0
1228,14 74 218 353,4,9,24,2.000000000000,0,0
1229,14 74 218 355,4,10,36,2.000000000000,0,0
1230,14 74 219,3,7,12,2.000000000000,0,0
1231,14 74 219 219,4,9,24,2.000000000000,0,0
1232,14 74 219 222,4,9,24,2.000000000000,0,0
1233,14 74 219 230,4,10,36,2.000000000000,0,0
1234,14 74 219 303,4,10,36,2.000000000000,0,0
1235,14 74 219 328,4,9,24,2.000000000000,0,0
1236,14 74 219 329,4,9,24,2.000000000000,0,0
1237,14 74 219 330,4,9,24,2.000000000000,0,0
1238,14 74 219 348,4,9,24,2.000000000000,0,0
1239,14 74 219 353,4,9,24,2.000000000000,0,0
1240,14 74 219 355,4,10,36,2.000000000000,0,0
1241,14 74 222 328,4,9,24,2.000000000000,0,0
1242,14 74 222 329,4,9,24,2.000000000000,0,0
1243,14 74 222 348,4,9,24,2.000000000000,0,0
1244,14 74 222 355,4,10,36,2.000000000000,0,0
1245,14 74 230 328,4,10,36,2.000000000000,0,0
1246,14 74 230 329,4,10,36,2.000000000000,0,0
1247,14 74 230 348,4,10,36,2.000000000000,0,0
1248,14 74 303 328,4,10,36,2.000000000000,0,0
1249,14 74 303 329,4,10,36,2.000000000000,0,0
1250,14 74 328,3,7,12,2.000000000000,0,0
1251,14 74 328 328,4,9,24,2.000000000000,0,0
1252,14 74 328 329,4,9,24,2.000000000000,0,0
1253,14 74 328 330,4,9,24,2.000000000000,0,0
1254,14 74 328 353,4,9,24,2.000000000000,0,0
1255,14 74 328 355,4,10,36,2.000000000000,0,0
1256,14 74 329,3,7,12,2.000000000000,0,0
1257,14 74 329 329,4,9,24,2.000000000000,0,0
1258,14 74 329 330,4,9,24,2.000000000000,0,0
1259,14 74 329 353,4,9,24,2.000000000000,0,0
1260,14 74 329 355,4,10,36,2.000000000000,0,0
1261,14 74 330 355,4,10,36,2.000000000000,0,0
1262,14 74 348,3,7,12,2.000000000000,0,0
1263,14 74 353 355,4,10,36,2.000000000000,0,0
1264,14 74 355,3,8,18,2.000000000000,0,0
1265,14 79 79 218,4,9,24,2.000000000000,0,0
1266,14 79 79 219,4,9,24,2.000000000000,0,0
1267,14 79 81 218,4,10,36,2.000000000000,0,0
1268,14 79 81 219,4,10,36,2.000000000000,0,0
1269,14 79 81 328,4,10,36,2.000000000000,0,0
1270,14 79 81 329,4,10,36,2.000000000000,0,0
1271,14 79 95 218,4,9,24,2.000000000000,0,0
1272,14 79 95 219,4,9,24,2.000000000000,0,0
1273,14 79 97 218,4,9,24,2.000000000000,0,0
1274,14 79 97 219,4,9,24,2.000000000000,0,0
1275,14 79 97 328,4,9,24,2.000000000000,0,0
1276,14 79 97 329,4,9,24,2.000000000000,0,0
1277,14 79 97 355,4,10,36,2.000000000000,0,0
1278,14 79 98 218,4,9,24,2.000000000000,0,0
1279,14 79 98 219,4,9,24,2.000000000000,0,0
1280,14 79 98 328,4,9,24,2.000000000000,0,0
1281,14 79 98 329,4,9,24,2.000000000000,0,0
1282,14 79 98 355,4,10,36,2.000000000000,0,0
1283,14 79 218,3,7,12,2.000000000000,0,0
1284,14 79 218 218,4,9,24,2.000000000000,0,0
1285,14 79 218 219,4,9,24,2.000000000000,0,0
1286,14 79 218 222,4,9,24,2.000000000000,0,0
1287,14 79 218 230,4,10,36,2.000000000000,0,0
1288,14 79 218 303,4,10,36,2.000000000000,0,0
1289,14 79 218 328,4,9,24,2.000000000000,0,0
1290,14 79 218 329,4,9,24,2.000000000000,0,0
1291,14 79 218 330,4,9,24,2.000000000000,0,0
1292,14 79 218 353,4,9,24,2.000000000000,0,0
1293,14 79 218 355,4,10,36,2.000000000000,0,0
1294,14 79 219,3,7,12,2.000000000000,0,0
1295,14 79 219 219,4,9,24,2.000000000000,0,0
1296,14 79 219 222,4,9,24,2.000000000000,0,0
1297,14 79 219 230,4,10,36,2.000000000000,0,0
1298,14 79 219 303,4,10,36,2.000000000000,0,0
1299,14 79 219 328,4,9,24,2.000000000000,0,0
1300,14 79 219 329,4,9,24,2.000000000000,0,0
1301,14 79 219 330,4,9,24,2.000000000000,0,0
1302,14 79 219 353,4,9,24,2.000000000000,0,0
1303,14 79 219 355,4,10,36,2.000000000000,0,0
1304,14 81 95 218,4,10,36,2.000000000000,0,0
1305,14 81 97 218,4,10,36,2.000000000000,0,0
1306,14 81 98 218,4,10,36,2.000000000000,0,0
1307,14 81 218,3,8,18,2.000000000000,0,0
1308,14 81 218 218,4,10,36,2.000000000000,0,0
1309,14 81 218 219,4,10,36,2.000000000000,0,0
1310,14 81 218 222,4,10,36,2.000000000000,0,0
1311,14 81 218 328,4,10,36,2.000000000000,0,0
1312,14 81 218 329,4,10,36,2.000000000000,0,0
1313,14 81 218 330,4,10,36,2.000000000000,0,0
1314,14 81 219 222,4,10,36,2.000000000000,0,0
1315,14 81 222 328,4,10,36,2.000000000000,0,0
1316,14 81 222 329,4,10,36,2.000000000000,0,0
1317,14 95 95 218,4,9,24,2.000000000000,0,0
1318,14 95 97 218,4,9,24,2.000000000000,0,0
1319,14 95 98 218,4,9,24,2.000000000000,0,0
1320,14 95 218,3,7,12,2.000000000000,0,0
1321,14 95 218 218,4,9,24,2.000000000000,0,0
1322,14 95 218 219,4,9,24,2.000000000000,0,0
1323,14 95 218 222,4,9,24,2.000000000000,0,0
1324,14 95 218 230,4,10,36,2.000000000000,0,0
1325,14 95 218 303,4,10,36,2.000000000000,0,0
1326,14 95 218 328,4,9,24,2.000000000000,0,0
1327,14 95 218 329,4,9,24,2.000000000000,0,0
1328,14 95 218 330,4,9,24,2.000000000000,0,0
1329,14 95 219 222,4,9,24,2.000000000000,0,0
1330,14 97 97 218,4,9,24,2.000000000000,0,0
1331,14 97 98 218,4,9,24,2.000000000000,0,0
1332,14 97 218,3,7,12,2.000000000000,0,0
1333,14 97 218 218,4,9,24,2.000000000000,0,0
1334,14 97 218 219,4,9,24,2.000000000000,0,0
1335,14 97 218 222,4,9,24,2.000000000000,0,0
1336,14 97 218 230,4,10,36,2.000000000000,0,0
1337,14 97 218 303,4,10,36,2.000000000000,0,0
1338,14 97 218 328,4,9,24,2.000000000000,0,0
1339,14 97 218 329,4,9,24,2.000000000000,0,0
1340,14 97 219 222,4,9,24,2.000000000000,0,0
1341,14 97 222 328,4,9,24,2.000000000000,0,0
1342,14 97 222 329,4,9,24,2.000000000000,0,0
1343,14 98 98 218,4,9,24,2.000000000000,0,0
1344,14 98 218,3,7,12,2.000000000000,0,0
1345,14 98 218 218,4,9,24,2.000000000000,0,0
1346,14 98 218 219,4,9,24,2.000000000000,0,0
1347,14 98 218 222,4,9,24,2.000000000000,0,0
1348,14 98 218 230,4,10,36,2.000000000000,0,0
1349,14 98 218 303,4,10,36,2.000000000000,0,0
1350,14 98 218 329,4,9,24,2.000000000000,0,0
1351,14 98 219 222,4,9,24,2.000000000000,0,0
1352,14 98 222 329,4,9,24,2.000000000000,0,0
1353,14 218,2,5,6,2.500000000000,0,1
1354,14 218 218,3,7,12,2.000000000000,0,0
